date,hour,net,upRegulationZeroCoded,upRegulationOneCoded,upRegulationTwoCoded,downRegulationZeroCoded,downRegulationOneCoded,downRegulationTwoCoded,upRegulationDelivered,downRegulationDelivered,system_direction
2019-01-01,0,-1934.795,0,0,0,2288.567,0,0,0,-1934.795,Negative
2019-01-01,1,-750.866,0,0,0,808.083,0,0,0,-750.866,Negative
2019-01-01,2,-982.767,0,0,0,1060.75,0,0,0,-982.767,Negative
2019-01-01,3,-764.62,0,0,0,1120.483,0,0,0,-764.62,Negative
2019-01-01,4,-1233.289,0,0,0,1874.633,56,0,0,-1233.289,Negative
2019-01-01,5,-1469.061,0,0,0,2125,56,0,0,-1469.061,Negative
2019-01-01,6,-1444.749,0,0,0,2086,0,0,0,-1444.749,Negative
2019-01-01,7,-1339.938,0,0,0,1963,0,0,0,-1339.938,Negative
2019-01-01,8,-1884.543,0,0,0,2509.767,0,0,0,-1884.543,Negative
2019-01-01,9,-2178.792,0,0,0,2614.716,0,0,0,-2178.792,Negative
2019-01-01,10,-2036.002,41.833,0,0,2459.783,0,0,41.177,-2077.179,Negative
2019-01-01,11,-1647.966,0,0,0,1927.4,0,0,0,-1647.966,Negative
2019-01-01,12,-855.563,0,0,0,944,0,0,0,-855.563,Negative
2019-01-01,13,-78.651,0,0,0,81.967,0,0,0,-78.651,Negative
2019-01-01,14,202.696,277.866,0,0,0,0,0,202.696,0,Positive
2019-01-01,15,206.927,452.401,0,0,224.717,0,0,407.644,-200.717,Positive
2019-01-01,16,-564.851,341.983,0,0,827.551,0,0,225.927,-790.778,Negative
2019-01-01,17,-1067.564,0,0,0,1215.9,0,0,0,-1067.564,Negative
2019-01-01,18,-1108.857,0,0,0,1228.833,0,0,0,-1108.857,Negative
2019-01-01,19,26.246,814.967,0,0,179.5,0,0,183.167,-156.921,Neutral
2019-01-01,20,-476.264,0,0,0,643,0,0,0,-476.264,Negative
2019-01-01,21,-959.578,0,0,0,1120.649,0,0,0,-959.578,Negative
2019-01-01,22,-510.932,0,0,0,531.918,0,0,0,-510.932,Negative
2019-01-01,23,249.887,376.551,0,0,0,0,0,249.887,0,Positive
2019-01-02,0,-1342.151,195.633,0,0,1616.515,0,0,195.633,-1537.784,Negative
2019-01-02,1,-1537.697,20,0,0,1872.234,0,0,20,-1557.697,Negative
2019-01-02,2,-1454.05,0,0,0,1796,0,0,0,-1454.05,Negative
2019-01-02,3,-1191.881,0,0,0,1667.968,0,0,0,-1191.881,Negative
2019-01-02,4,-1335.806,0,0,0,1756.567,0,0,0,-1335.806,Negative
2019-01-02,5,-1530.308,0,0,0,1988,0,0,0,-1530.308,Negative
2019-01-02,6,-2085.123,0,0,0,2646.784,0,0,0,-2085.123,Negative
2019-01-02,7,-1655.755,11.667,0,0,1912.931,0,0,11.667,-1667.422,Negative
2019-01-02,8,-782.533,200,0,0,1169.716,0,0,200,-982.533,Negative
2019-01-02,9,-593.648,0,0,0,798.582,0,0,0,-593.648,Negative
2019-01-02,10,-1217.052,53.583,0,0,1509.634,0,0,50.483,-1267.535,Negative
2019-01-02,11,-778.332,0,0,0,960.317,0,0,0,-778.332,Negative
2019-01-02,12,-356.932,95.833,0,0,567.167,0,0,95.833,-452.765,Negative
2019-01-02,13,-368.035,0,0,0,424.767,0,0,0,-368.035,Negative
2019-01-02,14,0,0,0,0,0,0,0,0,0,Neutral
2019-01-02,15,0,0,0,0,0,0,0,0,0,Neutral
2019-01-02,16,-32.744,150,0,0,255.85,0,0,150,-182.744,Neutral
2019-01-02,17,-112.81,0,0,0,140,0,0,0,-112.81,Negative
2019-01-02,18,-720.887,0,0,0,903.417,0,0,0,-720.887,Negative
2019-01-02,19,-1056.765,0,0,0,1280.3,0,0,0,-1056.765,Negative
2019-01-02,20,-1393.381,0,0,0,1571,0,0,0,-1393.381,Negative
2019-01-02,21,-1128.817,0,0,0,1299.667,0,0,0,-1128.817,Negative
2019-01-02,22,-935.94,0,0,0,1102,0,0,0,-935.94,Negative
2019-01-02,23,-1102.993,0,0,0,1319.617,0,0,0,-1102.993,Negative
2019-01-03,0,-1590.698,0,0,0,2511.899,0,0,0,-1590.698,Negative
2019-01-03,1,-795.365,341.917,0,0,1496.533,0,0,341.917,-1137.282,Negative
2019-01-03,2,-675.69,0,0,0,876.401,0,0,0,-675.69,Negative
2019-01-03,3,-941.087,0,0,0,1129,0,0,0,-941.087,Negative
2019-01-03,4,-777.777,0,0,0,1069.617,0,0,0,-777.777,Negative
2019-01-03,5,-1036.593,0,0,0,1423,0,0,0,-1036.593,Negative
2019-01-03,6,-1030.839,0,0,0,1378.6,0,0,0,-1030.839,Negative
2019-01-03,7,-1006.025,71.25,0,0,1396.45,0,0,71.25,-1077.275,Negative
2019-01-03,8,-498.33,572.418,0,0,1278.483,0,0,563.818,-1062.148,Negative
2019-01-03,9,-734.723,0,0,0,905.516,0,0,0,-734.723,Negative
2019-01-03,10,-822.901,45.833,0,0,1084.75,0,0,45.833,-868.734,Negative
2019-01-03,11,-1035.319,0,0,0,1272.584,0,0,0,-1035.319,Negative
2019-01-03,12,-969.683,116.833,0,0,1246,0,0,116.163,-1085.846,Negative
2019-01-03,13,-850.352,0,0,0,1021.116,0,0,0,-850.352,Negative
